artist_id,first_name,last_name,group_name
411,Teresa ,Brewer,null
412,null,null,The Mavericks
413,Christina,Aguilera,null
414,null,null,The Nylons
415,Carnie & Wendy,Wilson,null
416,Alice,Gomez,with Madalyn Blanchett & Marilyn Rife
417,null,null,Various Artists
418,Putumayo,null,null
419,George,Winston,null
420,Sting,null,null
421,Eilleen SHANIA,Twain,null
422,Michael,Buble,null
423,Nicholas,Gunn,null
424,Andre,Rieu,null
425,Freda,Payne,null
426,null,null,Go-Go's
427,Tony,Bennett,null
428,null,null,The Ventures
429,null,null,The Dave Clark Five
430,Gary,Puckett,And The Union Gap
431,B.J.,Thomas,null
432,null,null,"The ""Sleepwalk"" GUITARS of Dan & Dale"
433,null,null,Raspberries
434,null,null,The Nashville Country Jamboree
435,null,null,The Lifeguards
436,John,Denver,null
437,Claude ,King,null
438,James,Brown,null
439,Don,Janse,and his 60-Voice Children's Chorus
440,null,null,Living Voices
441,null,null,Oak Ridge Boys
442,null,null,The Lovin' Spoonful
443,Hank,Williams,null
444,Johnny ,Williams,& The Playboys
445,null,null,Simon &  Garfunkel
446,Jo Ann,Campbell,null
447,null,null,The Righteous Brothers
448,Del,Shannon,null
449,null,null,The 4 Seasons
450,null,null,The Cars
451,null,null,Paul Revere & The Raiders'
452,Gary ,Lewis,& The Playboys
453,null,null,The Young Rascals
454,Trini,Lopez,null
455,Petula,Clark,null
456,Shaun,Cassidy,null
457,null,null,Little Big Town
