FirstName,LastName,GroupName,AlbumTitle,Genre,Format
Willie,Nelson,null,Willie Nelson's Greatest Hits (And Some That Will Be),Country,Cassette Tape
Kenny,Rogers,null,20 Greatest Hits,Country,Cassette Tape
John Cougar,Mellencamp,null,Wild Night,Rock,Cassette Tape
Me'Shell,Ndegeocello,null,Wild Night,Rock,Cassette Tape
null,null,null,Music From The Motion Picture Dangerous Minds,Combination,Cassette Tape
null,null,null,The Best Of Country Sing The Best Of Disney,Children's,Cassette Tape
null,null,null,Wild About My Lovin' Beale Street Blues 1928-1930,Blues,Cassette Tape
null,null,The Judds,Greatest Hits,Country,Cassette Tape
George,Jones,null,George Jones & Tammy Wynette Super Hits,Country,Cassette Tape
Tammy,Wynette,null,George Jones & Tammy Wynette Super Hits,Country,Cassette Tape
Diana,Ross,null,Diana Ross & The Supremes Every Great #1 Hit,R&B/Soul,Cassette Tape
null,null,The Supremes,Diana Ross & The Supremes Every Great #1 Hit,R&B/Soul,Cassette Tape
null,null,null,Peter Cottontail & Other Fun Songs ,Children's,Record
null,null,null,The Greatest Rock And Roll Hits,Rock,Record
null,null,null,Peter Pan Casper The Friendly Ghost Haunted House Tales,Children's,Record
Loretta,Lynn,null,Country Christmas,Christmas,Record
null,null,null,Snow White And The Seven Dwarfs,Children's,Record
Ricky,Nelson,null,I Need You,Pop,Record
null,null,Go-Go's,Beauty And The Beat,New Wave,Record
Tony,Bennett,null,Tony's Greatest Hits,Jazz,Record
null,null,The Ventures,Wild Things!,Rock,Record
null,null,null,Famous Original Hits By 25 Great Country Music Artists,Country,Record
null,null,The Dave Clark Five,Try Too Hard,Rock,Record
null,null,The Dave Clark Five,You Got What It Takes,Rock,Record
Ricky,Nelson,null,Million Sellers,Pop,Record
Gary,Puckett,and The Union Gap,The New Gary Puckett And The Union Gap Album,Pop,Record
Roger,Miller,null,Golden Hits,Country,Record
null,null,Peaches & Herb,Golden Duets,R&B/Soul,Record
